NP_000012.1	NP_000012.1; XP_016857324.1	467; 448	Pfam	PF01080; PF01080	Presenilin; Presenilin	4.9E-166; 1.3E-107	IPR001108; IPR001108	Peptidase A22A, presenilin; Peptidase A22A, presenilin
NP_001926.2	NP_001926.2; NP_004451.2	766; 760	Pfam	PF00930, PF00326; PF00930, PF00326	Dipeptidyl peptidase IV (DPP IV) N-terminal region, Prolyl oligopeptidase family; Dipeptidyl peptidase IV (DPP IV) N-terminal region, Prolyl oligopeptidase family	4.2E-109, 1.1E-58; 1.4E-102, 9.1E-55	IPR002469, IPR001375; IPR002469, IPR001375	Dipeptidylpeptidase IV, N-terminal domain, Peptidase S9, prolyl oligopeptidase, catalytic domain; Dipeptidylpeptidase IV, N-terminal domain, Peptidase S9, prolyl oligopeptidase, catalytic domain
NP_001932.2	NP_001932.2; NP_077740.1; NP_077739.1	896; 901; 894	Pfam	PF08758, PF01049, PF00028; PF08758, PF01049, PF00028; PF08758, PF01049, PF00028	Cadherin prodomain like, Cadherin cytoplasmic region, Cadherin domain; Cadherin prodomain like, Cadherin cytoplasmic region, Cadherin domain; Cadherin prodomain like, Cadherin cytoplasmic region, Cadherin domain	1.6E-21, 5.1E-7, 6.3E-18; 5.2E-17, 1.8E-6, 3.4E-19; 1.8E-19, 1.3E-5, 8.8E-22	IPR014868, IPR000233, IPR002126; IPR014868, IPR000233, IPR002126; IPR014868, IPR000233, IPR002126	Cadherin prodomain, Cadherin, cytoplasmic domain, Cadherin-like; Cadherin prodomain, Cadherin, cytoplasmic domain, Cadherin-like; Cadherin prodomain, Cadherin, cytoplasmic domain, Cadherin-like
NP_001933.2	NP_001933.2; NP_001127925.1; NP_001935.2	1049; 1059; 999	Pfam	PF01049, PF00028; PF00028, PF01049; PF00028, PF01049	Cadherin cytoplasmic region, Cadherin domain; Cadherin domain, Cadherin cytoplasmic region; Cadherin domain, Cadherin cytoplasmic region	9.4E-9, 7.0E-20; 1.4E-18, 3.0E-5; 1.2E-17, 1.3E-4	IPR000233, IPR002126; IPR002126, IPR000233; IPR002126, IPR000233	Cadherin, cytoplasmic domain, Cadherin-like; Cadherin-like, Cadherin, cytoplasmic domain; Cadherin-like, Cadherin, cytoplasmic domain
NP_001941.2	NP_001941.2; NP_001942.2	413; 346	Pfam	PF16421, PF02319; PF02319, PF16421	E2F transcription factor CC-MB domain, E2F/DP family winged-helix DNA-binding domain; E2F/DP family winged-helix DNA-binding domain, E2F transcription factor CC-MB domain	1.1E-32, 2.2E-24; 7.1E-25, 1.3E-30	IPR032198, IPR003316; IPR003316, IPR032198	E2F transcription factor, CC-MB domain, E2F/DP family, winged-helix DNA-binding domain; E2F/DP family, winged-helix DNA-binding domain, E2F transcription factor, CC-MB domain
NP_001953.1	NP_001953.1; XP_016881938.1; NP_004943.1; NP_004419.2; NP_872631.1	228; 298; 238; 205; 207	Pfam	PF00812; PF00812; PF00812; PF00812; PF00812	Ephrin; Ephrin; Ephrin; Ephrin; Ephrin	1.5E-41; 2.1E-31; 9.9E-43; 9.3E-47; 5.0E-40	IPR001799; IPR001799; IPR001799; IPR001799; IPR001799	Ephrin receptor-binding domain; Ephrin receptor-binding domain; Ephrin receptor-binding domain; Ephrin receptor-binding domain; Ephrin receptor-binding domain
NP_001962.3	NP_001962.3; NP_254275.1; NP_056933.3; NP_031378.1; NP_005738.4; XP_011538852.1	258; 269; 269; 270; 270; 280	Pfam	PF00089; PF00089; PF00089; PF00089; PF00089; PF00089	Trypsin; Trypsin; Trypsin; Trypsin; Trypsin; Trypsin	3.5E-69; 1.3E-70; 1.7E-67; 3.5E-68; 5.0E-66; 8.4E-38	IPR001254; IPR001254; IPR001254; IPR001254; IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain; Serine proteases, trypsin domain; Serine proteases, trypsin domain; Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_001963.1	NP_001963.1; NP_002768.3	267; 256	Pfam	PF00089; PF00089	Trypsin; Trypsin	3.7E-57; 4.9E-61	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_001964.2	NP_001964.2; NP_005220.2	431; 428	Pfam	PF00178; PF00178	Ets-domain; Ets-domain	1.7E-34; 2.0E-35	IPR000418; IPR000418	Ets domain; Ets domain
NP_001973.2	NP_001973.2; XP_016859066.1	1342; 1349	Pfam	PF01030, PF07714, PF00757, PF14843; PF01030, PF07714, PF00757, PF14843	Receptor L domain, Protein tyrosine and serine/threonine kinase, Furin-like cysteine rich region, Growth factor receptor domain IV; Receptor L domain, Protein tyrosine and serine/threonine kinase, Furin-like cysteine rich region, Growth factor receptor domain IV	2.1E-29, 1.1E-77, 3.7E-31, 2.4E-48; 2.9E-31, 1.2E-91, 1.7E-29, 4.3E-46	IPR000494, IPR001245, IPR006211, IPR032778; IPR000494, IPR001245, IPR006211, IPR032778	Receptor L-domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, Furin-like cysteine-rich domain, Growth factor receptor domain 4; Receptor L-domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, Furin-like cysteine-rich domain, Growth factor receptor domain 4
NP_001994.2	NP_001994.2; NP_004099.2	326; 313	Pfam	PF00147, PF01391; PF01391, PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain, Collagen triple helix repeat (20 copies); Collagen triple helix repeat (20 copies), Fibrinogen beta and gamma chains, C-terminal globular domain	2.0E-75, 2.5E-10; 1.7E-9, 3.2E-73	IPR002181, IPR008160; IPR008160, IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain, Collagen triple helix repeat; Collagen triple helix repeat, Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
NP_001998.1	NP_001998.1; NP_066276.2	206; 208	Pfam	PF00167; PF00167	Fibroblast growth factor; Fibroblast growth factor	3.3E-38; 1.3E-41	IPR002209; IPR002209	Fibroblast growth factor family; Fibroblast growth factor family
NP_002000.1	NP_002000.1; NP_004456.1; NP_065688.1	194; 208; 170	Pfam	PF00167; PF00167; PF00167	Fibroblast growth factor; Fibroblast growth factor; Fibroblast growth factor	2.6E-49; 1.3E-48; 4.8E-41	IPR002209; IPR002209; IPR002209	Fibroblast growth factor family; Fibroblast growth factor family; Fibroblast growth factor family
NP_002001.1	NP_002001.1; NP_003859.1; NP_062825.1	208; 207; 211	Pfam	PF00167; PF00167; PF00167	Fibroblast growth factor; Fibroblast growth factor; Fibroblast growth factor	5.9E-48; 3.5E-48; 2.2E-47	IPR002209; IPR002209; IPR002209	Fibroblast growth factor family; Fibroblast growth factor family; Fibroblast growth factor family
NP_002016.2	NP_002016.2; XP_024308651.1	1311; 1380	Pfam	PF05110, PF18875, PF18876; PF18876, PF05110, PF18875	AF-4 proto-oncoprotein N-terminal region, AF4 interaction motif, AF-4 proto-oncoprotein C-terminal region; AF-4 proto-oncoprotein C-terminal region, AF-4 proto-oncoprotein N-terminal region, AF4 interaction motif	1.3E-171, 5.2E-8, 1.0E-120; 9.3E-118, 3.9E-102, 3.6E-6	-, IPR043639, IPR043640; IPR043640, -, IPR043639	-, AF4 interaction motif, AF4/FMR2, C-terminal homology domain; AF4/FMR2, C-terminal homology domain, -, AF4 interaction motif
NP_002025.2	NP_002025.2; NP_001091108.3; NP_001035791.1	374; 361; 359	Pfam	PF00852, PF17039; PF00852, PF17039; PF00852, PF17039	Glycosyltransferase family 10 (fucosyltransferase) C-term, Fucosyltransferase, N-terminal; Glycosyltransferase family 10 (fucosyltransferase) C-term, Fucosyltransferase, N-terminal; Glycosyltransferase family 10 (fucosyltransferase) C-term, Fucosyltransferase, N-terminal	1.1E-68, 6.8E-35; 7.5E-69, 4.8E-35; 1.4E-66, 8.5E-37	IPR001503, IPR031481; IPR001503, IPR031481; IPR001503, IPR031481	Glycosyl transferase family 10, Fucosyltransferase, N-terminal; Glycosyl transferase family 10, Fucosyltransferase, N-terminal; Glycosyl transferase family 10, Fucosyltransferase, N-terminal
NP_002033.2	NP_002033.2; NP_002034.3; NP_001099050.1	479; 465; 467	Pfam	PF02932, PF02931; PF02932, PF02931; PF02931, PF02932	Neurotransmitter-gated ion-channel transmembrane region, Neurotransmitter-gated ion-channel ligand binding domain; Neurotransmitter-gated ion-channel transmembrane region, Neurotransmitter-gated ion-channel ligand binding domain; Neurotransmitter-gated ion-channel ligand binding domain, Neurotransmitter-gated ion-channel transmembrane region	9.5E-31, 1.3E-51; 2.5E-33, 8.8E-52; 2.0E-52, 2.4E-30	IPR006029, IPR006202; IPR006029, IPR006202; IPR006202, IPR006029	Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel ligand-binding domain; Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel ligand-binding domain; Neurotransmitter-gated ion-channel ligand-binding domain, Neurotransmitter-gated ion-channel transmembrane domain
NP_002044.2	NP_002044.2; NP_060754.2; NP_004111.2; NP_443174.1; NP_443173.2; NP_940862.2; NP_997281.2	592; 595; 591; 586; 640; 633; 638	Pfam	PF02841, PF02263; PF02841, PF02263; PF02841, PF02263; PF02263, PF02841; PF02841, PF02263; PF02263, PF02841; PF02841, PF02263	Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, N-terminal domain, Guanylate-binding protein, C-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, N-terminal domain, Guanylate-binding protein, C-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain	2.6E-127, 1.8E-124; 2.2E-121, 9.5E-125; 8.0E-128, 1.1E-125; 8.5E-120, 4.2E-116; 1.3E-127, 2.5E-120; 5.1E-122, 7.2E-121; 9.3E-123, 1.6E-126	IPR003191, IPR015894; IPR003191, IPR015894; IPR003191, IPR015894; IPR015894, IPR003191; IPR003191, IPR015894; IPR015894, IPR003191; IPR003191, IPR015894	Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein, N-terminal, Guanylate-binding protein/Atlastin, C-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein, N-terminal, Guanylate-binding protein/Atlastin, C-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal
NP_002073.2	NP_002073.2; NP_005299.1; XP_011511749.1	589; 590; 617	Pfam	PF00069, PF00615; PF00069, PF00615; PF00069, PF00615	Protein kinase domain, Regulator of G protein signaling domain; Protein kinase domain, Regulator of G protein signaling domain; Protein kinase domain, Regulator of G protein signaling domain	8.8E-69, 1.2E-18; 9.7E-65, 2.2E-22; 2.9E-59, 8.4E-21	IPR000719, IPR016137; IPR000719, IPR016137; IPR000719, IPR016137	Protein kinase domain, RGS domain; Protein kinase domain, RGS domain; Protein kinase domain, RGS domain
NP_002077.1	NP_002077.1; NP_006604.1; XP_016880124.1	217; 217; 144	Pfam	PF00018, PF00017; PF00017, PF00018; PF00017, PF00018	SH3 domain, SH2 domain; SH2 domain, SH3 domain; SH2 domain, SH3 domain	2.5E-16, 9.5E-25; 2.2E-23, 3.4E-16; 6.0E-13, 1.6E-16	IPR001452, IPR000980; IPR000980, IPR001452; IPR000980, IPR001452	SH3 domain, SH2 domain; SH2 domain, SH3 domain; SH2 domain, SH3 domain
NP_002084.2	NP_002084.2; NP_063937.2	433; 483	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	4.2E-68; 5.9E-70	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_002094.2	NP_002094.2; NP_068776.2	737; 703	Pfam	PF05693; PF05693	Glycogen synthase; Glycogen synthase	0.0; 0.0	IPR008631; IPR008631	Glycogen synthase; Glycogen synthase
NP_002097.1	NP_002097.1; NP_036544.1; NP_003508.1; NP_001035807.1; NP_003507.1; NP_808760.1; NP_254280.1; NP_066409.1; NP_066390.1; NP_003504.2; NP_003503.1; NP_003505.1; NP_003502.1; NP_003501.1; NP_003500.1; NP_066408.1; NP_066544.1; NP_542163.1; NP_778235.1; NP_734466.1	128; 128; 129; 130; 130; 129; 130; 130; 130; 130; 130; 130; 130; 130; 130; 130; 128; 128; 130; 131	Pfam	PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125	Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4	1.5E-19, 5.3E-13; 4.7E-19, 3.5E-13; 6.7E-20, 2.3E-17; 2.3E-17, 7.5E-20; 2.3E-17, 7.5E-20; 9.4E-20, 9.7E-17; 1.8E-17, 3.4E-20; 7.5E-20, 3.8E-17; 3.8E-17, 3.4E-20; 3.8E-17, 3.4E-20; 3.4E-20, 3.5E-17; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 6.9E-17, 7.3E-20; 6.9E-17, 7.3E-20; 3.8E-17, 2.2E-20; 2.0E-20, 1.8E-17	IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125	Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3
NP_002101.2	NP_002101.2; XP_024302814.1; XP_011542126.1; XP_016881449.1; XP_016866139.1; XP_016883513.1; NP_001036194.1; XP_016866134.1	526; 567; 531; 543; 537; 542; 529; 505	Pfam	PF00017, PF07714, PF00018; PF00017, PF07714, PF00018; PF00017, PF07714, PF00018; PF00017, PF00018, PF07714; PF00018, PF00017, PF07714; PF00017, PF07714, PF00018; PF07714, PF00018, PF00017; PF00018, PF07714, PF00017	SH2 domain, Protein tyrosine and serine/threonine kinase, SH3 domain; SH2 domain, Protein tyrosine and serine/threonine kinase, SH3 domain; SH2 domain, Protein tyrosine and serine/threonine kinase, SH3 domain; SH2 domain, SH3 domain, Protein tyrosine and serine/threonine kinase; SH3 domain, SH2 domain, Protein tyrosine and serine/threonine kinase; SH2 domain, Protein tyrosine and serine/threonine kinase, SH3 domain; Protein tyrosine and serine/threonine kinase, SH3 domain, SH2 domain; SH3 domain, Protein tyrosine and serine/threonine kinase, SH2 domain	3.8E-25, 8.2E-96, 1.0E-16; 1.4E-24, 6.8E-95, 4.6E-13; 1.9E-22, 2.0E-64, 1.1E-14; 7.6E-28, 3.2E-18, 2.0E-92; 6.4E-20, 1.3E-28, 4.4E-94; 1.8E-27, 3.7E-93, 3.2E-13; 1.7E-89, 9.3E-19, 5.5E-28; 1.0E-12, 1.3E-97, 7.5E-25	IPR000980, IPR001245, IPR001452; IPR000980, IPR001245, IPR001452; IPR000980, IPR001245, IPR001452; IPR000980, IPR001452, IPR001245; IPR001452, IPR000980, IPR001245; IPR000980, IPR001245, IPR001452; IPR001245, IPR001452, IPR000980; IPR001452, IPR001245, IPR000980	SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain; SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain; SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain; SH2 domain, SH3 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain; SH3 domain, SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain; SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain; Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain, SH2 domain; SH3 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH2 domain
NP_002104.2	NP_002104.2; NP_005657.1	330; 270	Pfam	PF00084; PF00084	Sushi repeat (SCR repeat); Sushi repeat (SCR repeat)	1.2E-10; 3.0E-12	IPR000436; IPR000436	Sushi/SCR/CCP domain; Sushi/SCR/CCP domain
NP_002106.2	NP_002106.2; XP_005264337.1; NP_001309294.1; NP_079406.4	923; 938; 952; 917	Pfam	PF00349, PF03727; PF03727, PF00349; PF03727, PF00349; PF00349, PF03727	Hexokinase, Hexokinase; Hexokinase, Hexokinase; Hexokinase, Hexokinase; Hexokinase, Hexokinase	6.7E-68, 3.6E-81; 3.0E-86, 1.6E-70; 6.1E-87, 1.0E-69; 3.2E-69, 2.0E-86	IPR022672, IPR022673; IPR022673, IPR022672; IPR022673, IPR022672; IPR022672, IPR022673	Hexokinase, N-terminal, Hexokinase, C-terminal; Hexokinase, C-terminal, Hexokinase, N-terminal; Hexokinase, C-terminal, Hexokinase, N-terminal; Hexokinase, N-terminal, Hexokinase, C-terminal
NP_002108.4	NP_002108.4; NP_005505.2	366; 362	Pfam	PF06623, PF00129, PF07654; PF06623, PF07654, PF00129	MHC_I C-terminus, Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain; MHC_I C-terminus, Immunoglobulin C1-set domain, Class I Histocompatibility antigen, domains alpha 1 and 2	9.8E-13, 9.7E-94, 5.7E-14; 2.6E-14, 1.9E-14, 2.0E-96	IPR010579, IPR011161, IPR003597; IPR010579, IPR003597, IPR011161	MHC class I, alpha chain, C-terminal, MHC class I-like antigen recognition-like, Immunoglobulin C1-set; MHC class I, alpha chain, C-terminal, Immunoglobulin C1-set, MHC class I-like antigen recognition-like
NP_002110.1	NP_002110.1; NP_002113.2; NP_064440.1; NP_061984.2; NP_291032.2	250; 255; 255; 254; 260	Pfam	PF00993, PF07654; PF00993, PF07654; PF00993, PF07654; PF07654, PF00993; PF00993, PF07654	Class II histocompatibility antigen, alpha domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, alpha domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, alpha domain, Immunoglobulin C1-set domain; Immunoglobulin C1-set domain, Class II histocompatibility antigen, alpha domain; Class II histocompatibility antigen, alpha domain, Immunoglobulin C1-set domain	2.0E-31, 1.5E-24; 2.9E-35, 7.0E-26; 2.7E-36, 6.5E-25; 2.2E-23, 9.0E-35; 2.7E-34, 1.4E-24	IPR001003, IPR003597; IPR001003, IPR003597; IPR001003, IPR003597; IPR003597, IPR001003; IPR001003, IPR003597	MHC class II, alpha chain, N-terminal, Immunoglobulin C1-set; MHC class II, alpha chain, N-terminal, Immunoglobulin C1-set; MHC class II, alpha chain, N-terminal, Immunoglobulin C1-set; Immunoglobulin C1-set, MHC class II, alpha chain, N-terminal; MHC class II, alpha chain, N-terminal, Immunoglobulin C1-set
NP_002111.1	NP_002111.1; NP_002112.3; NP_068818.4; NP_001230890.1; XP_011512864.1; XP_005249108.1; NP_072049.2; XP_024308321.1	273; 258; 266; 269; 276; 275; 266; 279	Pfam	PF00969, PF07654; PF00969, PF07654; PF00969, PF07654; PF00969, PF07654; PF07654, PF00969; PF07654, PF00969; PF00969, PF07654; PF00969, PF07654	Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Immunoglobulin C1-set domain, Class II histocompatibility antigen, beta domain; Immunoglobulin C1-set domain, Class II histocompatibility antigen, beta domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain	1.4E-34, 1.1E-24; 6.7E-34, 5.5E-28; 1.3E-35, 1.1E-26; 4.7E-36, 6.2E-28; 1.5E-25, 2.4E-36; 1.4E-27, 2.7E-33; 6.7E-37, 2.0E-26; 2.0E-37, 2.4E-26	IPR000353, IPR003597; IPR000353, IPR003597; IPR000353, IPR003597; IPR000353, IPR003597; IPR003597, IPR000353; IPR003597, IPR000353; IPR000353, IPR003597; IPR000353, IPR003597	MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; Immunoglobulin C1-set, MHC class II, beta chain, N-terminal; Immunoglobulin C1-set, MHC class II, beta chain, N-terminal; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set
NP_002120.1	NP_002120.1; XP_024305109.1; NP_001288160.1	209; 215; 220	Pfam	PF09011, PF00505; PF09011, PF00505; PF09011, PF00505	HMG-box domain, HMG (high mobility group) box; HMG-box domain, HMG (high mobility group) box; HMG-box domain, HMG (high mobility group) box	2.6E-28, 1.5E-26; 3.4E-27, 2.9E-27; 4.5E-30, 1.1E-27	IPR009071, IPR009071; IPR009071, IPR009071; IPR009071, IPR009071	High mobility group box domain, High mobility group box domain; High mobility group box domain, High mobility group box domain; High mobility group box domain, High mobility group box domain
NP_002124.1	NP_002124.1; NP_001273196.1	288; 370	Pfam	PF01126; PF01126	Heme oxygenase; Heme oxygenase	1.6E-83; 3.0E-82	IPR016053; IPR016053	Haem oxygenase-like; Haem oxygenase-like
NP_002130.2	NP_002130.2; NP_062556.2; NP_055284.3	391; 390; 392	Pfam	PF08081, PF00076; PF08081, PF00076; PF00076, PF08081	RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family	4.5E-23, 4.9E-23; 6.9E-23, 6.1E-23; 3.5E-22, 2.9E-19	IPR012604, IPR000504; IPR012604, IPR000504; IPR000504, IPR012604	RBM1CTR, RNA recognition motif domain; RBM1CTR, RNA recognition motif domain; RNA recognition motif domain, RBM1CTR
NP_002145.3	NP_002145.3; NP_001304310.1; NP_001273433.1	840; 870; 860	Pfam	PF00012; PF00012; PF00012	Hsp70 protein; Hsp70 protein; Hsp70 protein	2.3E-210; 1.2E-179; 1.1E-172	IPR013126; IPR013126; IPR013126	Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family
NP_002146.2	NP_002146.2; NP_005337.2; NP_005336.3; NP_005518.3; NP_006588.1; NP_068814.2; NP_005338.1; NP_004125.3	643; 641; 641; 641; 646; 639; 654; 679	Pfam	PF00012; PF00012; PF00012; PF00012; PF00012; PF00012; PF00012; PF00012	Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein	5.4E-261; 1.3E-262; 1.3E-262; 5.6E-260; 3.9E-264; 2.0E-261; 6.8E-272; 7.8E-270	IPR013126; IPR013126; IPR013126; IPR013126; IPR013126; IPR013126; IPR013126; IPR013126	Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family
NP_002157.2	NP_002157.2; NP_001537.1	134; 161	Pfam	PF00010; PF00010	Helix-loop-helix DNA-binding domain; Helix-loop-helix DNA-binding domain	7.2E-14; 6.4E-14	IPR011598; IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain; Myc-type, basic helix-loop-helix (bHLH) domain
NP_002158.3	NP_002158.3; NP_001537.1	119; 161	Pfam	PF00010; PF00010	Helix-loop-helix DNA-binding domain; Helix-loop-helix DNA-binding domain	7.7E-11; 6.4E-14	IPR011598; IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain; Myc-type, basic helix-loop-helix (bHLH) domain
NP_002159.2	NP_002159.2; NP_005887.2	452; 414	Pfam	PF00180; PF00180	Isocitrate/isopropylmalate dehydrogenase; Isocitrate/isopropylmalate dehydrogenase	5.4E-78; 1.0E-76	IPR024084; IPR024084	Isopropylmalate dehydrogenase-like domain; Isopropylmalate dehydrogenase-like domain
NP_002181.1	NP_002181.1; NP_443104.1	155; 163	Pfam	PF06083; PF06083	Interleukin-17; Interleukin-17	5.5E-29; 1.2E-27	IPR010345; IPR010345	Interleukin-17 family; Interleukin-17 family
NP_002187.1	NP_002187.1; NP_115983.3	510; 566	Pfam	PF00096; PF00096	Zinc finger, C2H2 type; Zinc finger, C2H2 type	0.0026; 2.0E-5	IPR013087; IPR013087	Zinc finger C2H2-type; Zinc finger C2H2-type
NP_002193.2	NP_002193.2; NP_665804.1	349; 359	Pfam	PF00046, PF00412; PF00412, PF00046	Homeodomain, LIM domain; LIM domain, Homeodomain	4.3E-15, 5.3E-14; 9.5E-16, 4.5E-15	IPR001356, IPR001781; IPR001781, IPR001356	Homeobox domain, Zinc finger, LIM-type; Zinc finger, LIM-type, Homeobox domain
