NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_003241.2	NP_003241.2; XP_016862598.1	490; 461	Pfam	PF00105, PF00104; PF00104, PF00105	Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor; Ligand-binding domain of nuclear hormone receptor, Zinc finger, C4 type (two domains)	3.0E-29, 6.1E-17; 4.1E-16, 3.9E-30	IPR001628, IPR000536; IPR000536, IPR001628	Zinc finger, nuclear hormone receptor-type, Nuclear hormone receptor, ligand-binding domain; Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type
NP_003285.2	NP_003285.2; NP_077078.5; NP_036349.1	275; 275; 242	Pfam	PF00089; PF00089; PF00089	Trypsin; Trypsin; Trypsin	2.3E-69; 2.7E-69; 7.6E-55	IPR001254; IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_003299.2	NP_003299.2; NP_001269398.1; NP_001071165.2; NP_001157943.1; NP_072095.2; NP_001230650.1; NP_001382992.1	308; 308; 308; 314; 308; 308; 314	Pfam	PF00956; PF00956; PF00956; PF00956; PF00956; PF00956; PF00956	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)	2.7E-18; 1.4E-18; 1.4E-18; 1.2E-18; 1.5E-18; 1.9E-17; 4.4E-19	IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)
NP_003327.2	NP_003327.2; NP_003328.1	152; 152	Pfam	PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	1.5E-54; 1.2E-53	IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003329.1	NP_003329.1; XP_024302563.1; NP_871622.1; XP_016865309.1	147; 192; 149; 173	Pfam	PF00179; PF00179; PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	6.0E-54; 2.6E-52; 1.7E-52; 4.8E-52	IPR000608; IPR000608; IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003332.1	NP_003332.1; NP_001357154.1; NP_872619.1	193; 201; 207	Pfam	PF00179; PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	9.4E-47; 4.3E-47; 1.6E-46	IPR000608; IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003396.1	NP_003396.1; NP_036611.2	246; 247	Pfam	PF00244; PF00244	14-3-3 protein; 14-3-3 protein	8.9E-104; 7.6E-106	IPR023410; IPR023410	14-3-3 domain; 14-3-3 domain
NP_003408.1	NP_003408.1; NP_001018857.2	627; 627	Pfam	PF00096, PF01352; PF00096, PF01352	Zinc finger, C2H2 type, KRAB box; Zinc finger, C2H2 type, KRAB box	6.5E-7, 5.9E-23; 9.2E-7, 1.1E-23	IPR013087, IPR001909; IPR013087, IPR001909	Zinc finger C2H2-type, Krueppel-associated box; Zinc finger C2H2-type, Krueppel-associated box
NP_003482.1	NP_003482.1; XP_016864266.1	235; 229	Pfam	PF00583; PF00583	Acetyltransferase (GNAT) family; Acetyltransferase (GNAT) family	2.0E-15; 3.3E-15	IPR000182; IPR000182	GNAT domain; GNAT domain
NP_003484.1	NP_003484.1; NP_003526.1; NP_003524.1; NP_003527.1; NP_003525.1; NP_066298.1; NP_001368928.1; NP_001363866.1; NP_003522.1; NP_003528.1; NP_003520.1; NP_001005464.1; NP_066403.2; NP_001116847.1; NP_005315.1; NP_001365972.1; NP_001342338.1; NP_001013721.2; NP_001358848.1; NP_001342187.1	136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 135; 147; 136	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	4.6E-53; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 7.6E-54; 7.6E-54; 7.6E-54; 8.5E-54; 8.5E-54; 1.5E-51; 1.0E-51; 8.4E-48; 1.9E-47	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
NP_003486.1	NP_003539.1; NP_778224.1; NP_003537.1; NP_003532.1; NP_068803.1; NP_003486.1; NP_003534.1; NP_003531.1; NP_003536.1; NP_003530.1; NP_003533.1; NP_003535.1; NP_003529.1; NP_003538.1	103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 98	Pfam	PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; 	Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; 	2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 	IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; 	CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; 
NP_003509.1	NP_003516.1; NP_003509.1; NP_003513.1; NP_003514.2; NP_001368918.1; NP_003519.1; NP_003515.1; NP_003511.1; NP_542160.1; XP_005249096.1; NP_003518.2; NP_066402.2; NP_066406.1; NP_001154806.1; XP_006723981.1; NP_059141.1; NP_003510.1; NP_003512.1; NP_778225.1; NP_733759.1; NP_001356054.2	126; 126; 126; 126; 126; 126; 126; 126; 126; 150; 126; 126; 126; 134; 126; 126; 126; 126; 126; 127; 122	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	7.4E-26; 7.4E-26; 7.4E-26; 7.4E-26; 7.4E-26; 3.6E-26; 8.4E-26; 6.0E-26; 7.4E-26; 8.1E-26; 4.1E-26; 3.6E-26; 7.5E-26; 4.3E-25; 3.2E-24; 3.2E-24; 3.7E-26; 6.6E-25; 1.3E-25; 9.0E-25; 2.0E-19	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
NP_003544.2	NP_003544.2; NP_003545.1	314; 323	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	9.3E-57; 1.3E-53	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_003552.1	NP_003552.1; XP_011521091.1	165; 143	Pfam	PF00068; PF00068	Phospholipase A2; Phospholipase A2	1.3E-32; 2.1E-23	IPR016090; IPR016090	Phospholipase A2 domain; Phospholipase A2 domain
NP_003592.3	NP_003592.3; NP_001269803.1	1052; 1070	Pfam	PF00271, PF09111, PF00176, PF09110; PF13892, PF09110, PF09111, PF00176, PF00271	Helicase conserved C-terminal domain, SLIDE, SNF2 family N-terminal domain, HAND; DNA-binding domain, HAND, SLIDE, SNF2 family N-terminal domain, Helicase conserved C-terminal domain	3.9E-19, 1.1E-45, 5.5E-79, 7.5E-30; 1.4E-5, 4.9E-30, 8.7E-45, 2.2E-81, 1.3E-18	IPR001650, IPR015195, IPR000330, IPR015194; IPR020838, IPR015194, IPR015195, IPR000330, IPR001650	Helicase, C-terminal, SLIDE domain, SNF2, N-terminal, ISWI, HAND domain; DBINO domain, ISWI, HAND domain, SLIDE domain, SNF2, N-terminal, Helicase, C-terminal
NP_003632.4	NP_003632.4; NP_066362.2; NP_006426.2	125; 133; 132	Pfam	PF04505; PF04505; PF04505	Interferon-induced transmembrane protein; Interferon-induced transmembrane protein; Interferon-induced transmembrane protein	5.0E-32; 1.6E-32; 3.5E-32	IPR007593; IPR007593; IPR007593	CD225/Dispanin family; CD225/Dispanin family; CD225/Dispanin family
NP_003642.3	NP_003642.3; NP_004550.2	372; 324	Pfam	PF00313; PF00313	'Cold-shock' DNA-binding domain; 'Cold-shock' DNA-binding domain	5.6E-26; 4.5E-26	IPR002059; IPR002059	Cold-shock protein, DNA-binding; Cold-shock protein, DNA-binding
NP_003680.2	NP_003680.2; XP_011539348.1	359; 375	Pfam	PF00248; PF00248	Aldo/keto reductase family; Aldo/keto reductase family	6.4E-50; 8.5E-41	IPR023210; IPR023210	NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain
NP_003727.1	NP_003727.1; NP_061748.1	923; 923	Pfam	PF00028, PF16492, PF15974, PF08266; PF16492, PF15974, PF00028, PF08266	Cadherin domain, Cadherin cytoplasmic C-terminal, Cadherin C-terminal cytoplasmic tail, catenin-binding region, Cadherin-like; Cadherin cytoplasmic C-terminal, Cadherin C-terminal cytoplasmic tail, catenin-binding region, Cadherin domain, Cadherin-like	1.4E-18, 2.4E-22, 1.5E-24, 6.0E-28; 2.9E-22, 1.5E-24, 8.2E-20, 6.0E-28	IPR002126, IPR032455, IPR031904, IPR013164; IPR032455, IPR031904, IPR002126, IPR013164	Cadherin-like, Cadherin, cytoplasmic C-terminal domain, Cadherin, C-terminal catenin-binding domain, Cadherin, N-terminal; Cadherin, cytoplasmic C-terminal domain, Cadherin, C-terminal catenin-binding domain, Cadherin-like, Cadherin, N-terminal
NP_003737.1	NP_003737.1; NP_542408.1	89; 89	Pfam	PF01221; PF01221	Dynein light chain type 1; Dynein light chain type 1	1.1E-42; 2.7E-43	IPR001372; IPR001372	Dynein light chain, type 1/2; Dynein light chain, type 1/2
NP_003761.3	NP_003761.3; NP_006762.3	449; 456	Pfam	PF00038; PF00038	Intermediate filament protein; Intermediate filament protein	1.6E-92; 3.7E-92	IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain
NP_003765.2	NP_003765.2; NP_001186710.1	578; 575	Pfam	PF00652, PF00535; PF00652, PF00535	Ricin-type beta-trefoil lectin domain, Glycosyl transferase family 2; Ricin-type beta-trefoil lectin domain, Glycosyl transferase family 2	6.4E-25, 1.4E-35; 6.4E-25, 1.4E-35	IPR000772, IPR001173; IPR000772, IPR001173	Ricin B, lectin domain, Glycosyltransferase 2-like; Ricin B, lectin domain, Glycosyltransferase 2-like
NP_003818.2	NP_003818.2; NP_001269947.1	295; 302	Pfam	PF14938; PF14938	Soluble NSF attachment protein, SNAP; Soluble NSF attachment protein, SNAP	4.1E-110; 1.6E-107	-; -	-; -
NP_004057.1	NP_004057.1; NP_004335.1	172; 172	Pfam	PF13499; PF13499	EF-hand domain pair; EF-hand domain pair	1.2E-13; 1.3E-13	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_004072.3	NP_004072.3; NP_001375413.1	744; 723	Pfam	PF00076, PF18872; PF00076, PF18872	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Daz repeat; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Daz repeat	6.7E-11, 1.4E-13; 6.5E-11, 1.4E-13	IPR000504, IPR043628; IPR000504, IPR043628	RNA recognition motif domain, DAZ domain; RNA recognition motif domain, DAZ domain
NP_004107.1	NP_004107.1; NP_463460.1	108; 108	Pfam	PF00254; PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase; FKBP-type peptidyl-prolyl cis-trans isomerase	3.0E-32; 6.0E-34	IPR001179; IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain; FKBP-type peptidyl-prolyl cis-trans isomerase domain
NP_004115.1	NP_004115.1; NP_004868.1	142; 142	Pfam	PF00241; PF00241	Cofilin/tropomyosin-type actin-binding protein; Cofilin/tropomyosin-type actin-binding protein	1.9E-45; 2.4E-40	IPR002108; IPR002108	Actin-depolymerising factor homology domain; Actin-depolymerising factor homology domain
NP_004153.2	NP_004153.2; NP_001238968.1; NP_001238965.1	215; 249; 215	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	8.7E-63; 2.8E-62; 2.0E-61	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_004178.2	NP_004178.2; NP_001140177.1	1560; 1570	Pfam	PF02375, PF00628, PF02928, PF02373, PF08429, PF01388; PF02375, PF08429, PF00628, PF02928, PF01388, PF02373	jmjN domain, PHD-finger, C5HC2 zinc finger, JmjC domain, hydroxylase, PLU-1-like protein, ARID/BRIGHT DNA binding domain; jmjN domain, PLU-1-like protein, PHD-finger, C5HC2 zinc finger, ARID/BRIGHT DNA binding domain, JmjC domain, hydroxylase	2.3E-15, 5.2E-12, 1.8E-15, 1.3E-43, 1.2E-89, 5.3E-16; 1.4E-15, 8.0E-86, 3.4E-12, 3.2E-15, 1.7E-16, 3.8E-43	IPR003349, IPR019787, IPR004198, IPR003347, IPR013637, IPR001606; IPR003349, IPR013637, IPR019787, IPR004198, IPR001606, IPR003347	JmjN domain, Zinc finger, PHD-finger, Zinc finger, C5HC2-type, JmjC domain, Lysine-specific demethylase-like domain, ARID DNA-binding domain; JmjN domain, Lysine-specific demethylase-like domain, Zinc finger, PHD-finger, Zinc finger, C5HC2-type, ARID DNA-binding domain, JmjC domain
NP_004193.1	NP_004193.1; NP_066932.1	44; 44	Pfam	PF01290; PF01290	Thymosin beta-4 family; Thymosin beta-4 family	3.6E-20; 4.2E-23	IPR001152; IPR001152	Beta-thymosin; Beta-thymosin
NP_004209.2	NP_004209.2; NP_004654.1	218; 216	Pfam	PF00071; PF00071	Ras family; Ras family	7.9E-64; 1.9E-63	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_004218.1	NP_004218.1; NP_001351969.1; XP_006723535.1	399; 399; 421	Pfam	PF01369, PF00169; PF00169, PF01369; PF01369, PF00169	Sec7 domain, PH domain; PH domain, Sec7 domain; Sec7 domain, PH domain	3.2E-72, 1.9E-28; 2.0E-29, 6.9E-74; 1.1E-71, 9.0E-28	IPR000904, IPR001849; IPR001849, IPR000904; IPR000904, IPR001849	Sec7 domain, Pleckstrin homology domain; Pleckstrin homology domain, Sec7 domain; Sec7 domain, Pleckstrin homology domain
NP_004292.1	NP_004292.1; NP_057272.1	429; 426	Pfam	PF00022; PF00022	Actin; Actin	8.0E-142; 2.1E-139	IPR004000; IPR004000	Actin family; Actin family
NP_004343.1	NP_004343.1; XP_016881048.1	193; 224	Pfam	PF00386; PF00386	C1q domain; C1q domain	1.5E-26; 2.8E-27	IPR001073; IPR001073	C1q domain; C1q domain
NP_004463.1	NP_004463.1; NP_004465.3; NP_036315.1; NP_001078945.1; NP_954586.4; NP_954714.2; NP_001119806.1; NP_997188.2; NP_036316.1	465; 495; 478; 417; 417; 416; 416; 439; 408	Pfam	PF00250; PF00250; PF00250; PF00250; PF00250; PF00250; PF00250; PF00250; PF00250	Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain	4.1E-38; 4.5E-38; 2.4E-38; 2.3E-36; 2.3E-36; 2.3E-36; 2.3E-36; 2.1E-36; 1.2E-36	IPR001766; IPR001766; IPR001766; IPR001766; IPR001766; IPR001766; IPR001766; IPR001766; IPR001766	Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain
NP_004489.1	NP_004489.1; NP_001073957.1	465; 494	Pfam	PF02376, PF00046; PF00046, PF02376	CUT domain, Homeodomain; Homeodomain, CUT domain	1.2E-32, 4.8E-10; 1.1E-9, 1.8E-32	IPR003350, IPR001356; IPR001356, IPR003350	CUT domain, Homeobox domain; Homeobox domain, CUT domain
NP_004540.1	NP_004540.1; NP_001190189.1	119; 134	Pfam	PF06374; PF06374	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2); NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)	3.6E-46; 2.3E-35	IPR009423; IPR009423	NADH dehydrogenase [ubiquinone] 1 subunit C2, NDUC2; NADH dehydrogenase [ubiquinone] 1 subunit C2, NDUC2
NP_004569.2	NP_004569.2; NP_057238.3	218; 213	Pfam	PF00071; PF00071	Ras family; Ras family	8.5E-59; 1.0E-57	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_004640.4	NP_004640.4; NP_001350687.1	268; 268	Pfam	; 	; 	; 	; 	; 
NP_004669.2	NP_001002760.1; NP_004669.2; NP_001002761.1	106; 106; 106	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_004670.1	NP_870996.1; NP_004670.1; NP_057462.2; NP_057463.2; NP_001380591.1; NP_001001888.3	125; 125; 139; 186; 206; 246	Pfam	PF15231; PF15231; PF15231; PF15231; PF15231; PF15231	Variable charge X/Y family; Variable charge X/Y family; Variable charge X/Y family; Variable charge X/Y family; Variable charge X/Y family; Variable charge X/Y family	1.0E-62; 1.0E-62; 1.8E-67; 3.1E-69; 1.3E-67; 2.8E-69	IPR026653; IPR026653; IPR026653; IPR026653; IPR026653; IPR026653	Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1
NP_004671.1	NP_001003895.1; NP_004671.1; NP_004816.1; NP_001001722.1	554; 554; 541; 541	Pfam	PF00385, PF00378; PF00385, PF00378; PF00385, PF00378; PF00385, PF00378	Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase; Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase; Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase; Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase	1.4E-17, 3.9E-32; 1.4E-17, 3.9E-32; 1.4E-17, 2.3E-34; 1.4E-17, 2.3E-34	IPR023780, IPR001753; IPR023780, IPR001753; IPR023780, IPR001753; IPR023780, IPR001753	Chromo domain, Enoyl-CoA hydratase/isomerase; Chromo domain, Enoyl-CoA hydratase/isomerase; Chromo domain, Enoyl-CoA hydratase/isomerase; Chromo domain, Enoyl-CoA hydratase/isomerase
NP_004843.2	NP_004843.2; NP_001073957.1	504; 494	Pfam	PF00046, PF02376; PF00046, PF02376	Homeodomain, CUT domain; Homeodomain, CUT domain	9.2E-10, 2.0E-32; 1.1E-9, 1.8E-32	IPR001356, IPR003350; IPR001356, IPR003350	Homeobox domain, CUT domain; Homeobox domain, CUT domain
NP_004860.2	NP_004860.2; NP_037377.1	444; 437	Pfam	PF17862, PF04212, PF00004, PF09336; PF09336, PF17862, PF04212, PF00004	AAA+ lid domain, MIT (microtubule interacting and transport) domain, ATPase family associated with various cellular activities (AAA), Vps4 C terminal oligomerisation domain; Vps4 C terminal oligomerisation domain, AAA+ lid domain, MIT (microtubule interacting and transport) domain, ATPase family associated with various cellular activities (AAA)	8.0E-8, 1.2E-23, 1.4E-41, 1.7E-29; 6.2E-28, 1.1E-8, 9.3E-24, 1.1E-40	IPR041569, IPR007330, IPR003959, IPR015415; IPR015415, IPR041569, IPR007330, IPR003959	AAA ATPase, AAA+ lid domain, MIT domain, ATPase, AAA-type, core, Vps4 oligomerisation, C-terminal; Vps4 oligomerisation, C-terminal, AAA ATPase, AAA+ lid domain, MIT domain, ATPase, AAA-type, core
NP_004927.2	NP_004927.2; XP_011515977.1	138; 184	Pfam	; 	; 	; 	; 	; 
NP_004933.1	NP_004933.1; NP_001192195.1	64; 64	Pfam	PF00711; PF00711	Beta defensin; Beta defensin	5.1E-13; 5.1E-13	IPR001855; IPR001855	Beta defensin type; Beta defensin type
NP_005007.2	NP_005007.2; NP_006187.2	366; 356	Pfam	PF00013; PF00013	KH domain; KH domain	5.8E-18; 1.1E-17	IPR004088; IPR004088	K Homology domain, type 1; K Homology domain, type 1
NP_005040.2	NP_005040.2; NP_001355167.1	919; 919	Pfam	PF00400, PF04003; PF00400, PF04003	WD domain, G-beta repeat, Dip2/Utp12 Family; WD domain, G-beta repeat, Dip2/Utp12 Family	4.0E-8, 2.2E-22; 4.0E-8, 2.2E-22	IPR001680, IPR007148; IPR001680, IPR007148	WD40 repeat, Small-subunit processome, Utp12; WD40 repeat, Small-subunit processome, Utp12
NP_005049.1	NP_005049.1; NP_001006120.2; NP_001006118.2; NP_001006121.1; NP_001006117.2; NP_689798.1	496; 496; 496; 496; 496; 496	Pfam	PF00076, PF08081; PF00076, PF08081; PF00076, PF08081; PF00076, PF08081; PF08081, PF00076; PF08081, PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 3.4E-22, 3.2E-21; 3.4E-22, 3.2E-21	IPR000504, IPR012604; IPR000504, IPR012604; IPR000504, IPR012604; IPR000504, IPR012604; IPR012604, IPR000504; IPR012604, IPR000504	RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RBM1CTR, RNA recognition motif domain; RBM1CTR, RNA recognition motif domain
NP_005146.4	NP_619731.2; NP_005146.4	308; 302	Pfam	PF02089; PF02089	Palmitoyl protein thioesterase; Palmitoyl protein thioesterase	1.7E-61; 1.6E-61	-; -	-; -
NP_005175.2	NP_005175.2; NP_001292553.1; NP_001350599.1; NP_005176.1	149; 197; 150; 149	Pfam	PF13499; PF13499; PF13499; PF13499	EF-hand domain pair; EF-hand domain pair; EF-hand domain pair; EF-hand domain pair	1.4E-19; 2.5E-19; 1.4E-19; 1.4E-17	IPR002048; IPR002048; IPR002048; IPR002048	EF-hand domain; EF-hand domain; EF-hand domain; EF-hand domain
NP_005262.1	NP_005262.1; NP_036216.2	558; 558	Pfam	PF00208, PF02812; PF00208, PF02812	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase, Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/Leucine/Phenylalanine/Valine dehydrogenase, Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	2.3E-50, 3.7E-58; 4.9E-52, 1.7E-58	IPR006096, IPR006097; IPR006096, IPR006097	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal, Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal, Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain
