NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_002120.1	NP_002120.1; XP_024305109.1; NP_001288160.1	209; 215; 220	Pfam	PF09011, PF00505; PF09011, PF00505; PF09011, PF00505	HMG-box domain, HMG (high mobility group) box; HMG-box domain, HMG (high mobility group) box; HMG-box domain, HMG (high mobility group) box	2.6E-28, 1.5E-26; 3.4E-27, 2.9E-27; 4.5E-30, 1.1E-27	IPR009071, IPR009071; IPR009071, IPR009071; IPR009071, IPR009071	High mobility group box domain, High mobility group box domain; High mobility group box domain, High mobility group box domain; High mobility group box domain, High mobility group box domain
NP_002130.2	NP_002130.2; NP_062556.2; NP_055284.3	391; 390; 392	Pfam	PF08081, PF00076; PF08081, PF00076; PF00076, PF08081	RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family	4.5E-23, 4.9E-23; 6.9E-23, 6.1E-23; 3.5E-22, 2.9E-19	IPR012604, IPR000504; IPR012604, IPR000504; IPR000504, IPR012604	RBM1CTR, RNA recognition motif domain; RBM1CTR, RNA recognition motif domain; RNA recognition motif domain, RBM1CTR
NP_002146.2	NP_002146.2; NP_005337.2; NP_005336.3; NP_005518.3; NP_006588.1; NP_068814.2	643; 641; 641; 641; 646; 639	Pfam	PF00012; PF00012; PF00012; PF00012; PF00012; PF00012	Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein; Hsp70 protein	5.4E-261; 1.3E-262; 1.3E-262; 5.6E-260; 3.9E-264; 2.0E-261	IPR013126; IPR013126; IPR013126; IPR013126; IPR013126; IPR013126	Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family
NP_002193.2	NP_002193.2; NP_665804.1	349; 359	Pfam	PF00046, PF00412; PF00412, PF00046	Homeodomain, LIM domain; LIM domain, Homeodomain	4.3E-15, 5.3E-14; 9.5E-16, 4.5E-15	IPR001356, IPR001781; IPR001781, IPR001356	Homeobox domain, Zinc finger, LIM-type; Zinc finger, LIM-type, Homeobox domain
NP_002231.1	NP_002231.1; NP_001341098.1	423; 419	Pfam	PF17655, PF01007; PF01007, PF17655	Inward rectifier potassium channel C-terminal domain, Inward rectifier potassium channel transmembrane domain; Inward rectifier potassium channel transmembrane domain, Inward rectifier potassium channel C-terminal domain	2.4E-71, 6.6E-59; 8.8E-58, 1.5E-74	IPR041647, IPR040445; IPR040445, IPR041647	Inward rectifier potassium channel, C-terminal, Potassium channel, inwardly rectifying, transmembrane domain; Potassium channel, inwardly rectifying, transmembrane domain, Inward rectifier potassium channel, C-terminal
NP_002237.1	NP_002237.1; XP_011515403.1	394; 401	Pfam	PF07885; PF07885	Ion channel; Ion channel	2.2E-19; 2.3E-18	IPR013099; IPR013099	Potassium channel domain; Potassium channel domain
NP_002246.5	NP_002246.5; NP_001355182.1; NP_065396.1; NP_001018091.1	377; 377; 375; 375	Pfam	PF00047; PF00047; PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain	5.4E-14; 2.0E-13; 8.7E-10; 8.7E-10	IPR013151; IPR013151; IPR013151; IPR013151	Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin
NP_002250.2	NP_002250.2; NP_002251.2	233; 231	Pfam	PF00059; PF00059	Lectin C-type domain; Lectin C-type domain	2.7E-9; 2.2E-10	IPR001304; IPR001304	C-type lectin-like; C-type lectin-like
NP_002258.2	NP_002258.2; NP_002259.1	521; 521	Pfam	PF00514, PF16186, PF01749; PF00514, PF16186, PF01749	Armadillo/beta-catenin-like repeat, Atypical Arm repeat, Importin beta binding domain; Armadillo/beta-catenin-like repeat, Atypical Arm repeat, Importin beta binding domain	1.4E-12, 5.4E-22, 5.2E-22; 3.1E-13, 1.6E-22, 1.7E-21	IPR000225, IPR032413, IPR002652; IPR000225, IPR032413, IPR002652	Armadillo, Atypical Arm repeat, Importin-alpha, importin-beta-binding domain; Armadillo, Atypical Arm repeat, Importin-alpha, importin-beta-binding domain
NP_002261.3	NP_002261.3; NP_001369171.1	898; 897	Pfam	PF13513, PF03810; PF13513, PF03810	HEAT-like repeat, Importin-beta N-terminal domain; HEAT-like repeat, Importin-beta N-terminal domain	5.6E-12, 2.8E-15; 1.5E-12, 3.5E-15	-, IPR001494; -, IPR001494	-, Importin-beta, N-terminal domain; -, Importin-beta, N-terminal domain
NP_002268.2	NP_002268.2; XP_011523095.1; NP_004129.2; NP_002270.1	416; 412; 404; 404	Pfam	PF00038; PF00038; PF00038; PF00038	Intermediate filament protein; Intermediate filament protein; Intermediate filament protein; Intermediate filament protein	6.1E-107; 2.1E-104; 5.8E-107; 1.3E-104	IPR039008; IPR039008; IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain
NP_002272.2	NP_002272.2; NP_002274.1	505; 507	Pfam	PF16208, PF00038; PF00038, PF16208	Keratin type II head, Intermediate filament protein; Intermediate filament protein, Keratin type II head	5.3E-12, 2.8E-97; 1.9E-99, 2.2E-10	IPR032444, IPR039008; IPR039008, IPR032444	Keratin type II head, Intermediate filament, rod domain; Intermediate filament, rod domain, Keratin type II head
NP_002289.2	NP_002289.2; NP_001129497.1; XP_016862115.1	627; 630; 629	Pfam	PF00307, PF13499; PF13499, PF00307; PF00307, PF13499	Calponin homology (CH) domain, EF-hand domain pair; EF-hand domain pair, Calponin homology (CH) domain; Calponin homology (CH) domain, EF-hand domain pair	2.7E-24, 3.7E-10; 5.7E-11, 7.3E-25; 1.0E-25, 5.5E-12	IPR001715, IPR002048; IPR002048, IPR001715; IPR001715, IPR002048	Calponin homology domain, EF-hand domain; EF-hand domain, Calponin homology domain; Calponin homology domain, EF-hand domain
NP_002298.1	NP_001035972.1; NP_002298.1	136; 136	Pfam	PF00337; PF00337	Galactoside-binding lectin; Galactoside-binding lectin	4.4E-37; 4.4E-37	IPR001079; IPR001079	Galectin, carbohydrate recognition domain; Galectin, carbohydrate recognition domain
NP_002350.1	NP_002350.1; NP_002351.1	162; 156	Pfam	PF03131; PF03131	bZIP Maf transcription factor; bZIP Maf transcription factor	1.5E-33; 2.3E-34	IPR004826; IPR004826	Basic leucine zipper domain, Maf-type; Basic leucine zipper domain, Maf-type
NP_002361.1	NP_002361.1; NP_060518.1	146; 148	Pfam	PF02792; PF02792	Mago nashi protein; Mago nashi protein	3.7E-78; 3.9E-78	IPR004023; IPR004023	Mago nashi protein; Mago nashi protein
NP_002413.1	NP_002413.1; NP_002416.1	477; 476	Pfam	PF00045, PF00413, PF01471; PF01471, PF00045, PF00413	Hemopexin, Matrixin, Putative peptidoglycan binding domain; Putative peptidoglycan binding domain, Hemopexin, Matrixin	8.9E-16, 6.0E-64, 7.8E-10; 3.2E-10, 1.9E-15, 3.7E-62	IPR018487, IPR001818, IPR002477; IPR002477, IPR018487, IPR001818	Hemopexin-like repeats, Peptidase M10, metallopeptidase, Peptidoglycan binding-like; Peptidoglycan binding-like, Hemopexin-like repeats, Peptidase M10, metallopeptidase
NP_002462.2	NP_002462.2; XP_016876829.1; XP_016880164.1; NP_001093582.1; NP_002463.2; XP_016880165.1; XP_011522172.1; NP_003793.2	1939; 1935; 1939; 1941; 1937; 1939; 1940; 1938	Pfam	PF01576, PF02736, PF00063; PF00063, PF02736, PF01576; PF00063, PF02736, PF01576; PF01576, PF02736, PF00063; PF02736, PF00063, PF01576; PF02736, PF01576, PF00063; PF01576, PF00063, PF02736; PF01576, PF02736, PF00063	Myosin tail, Myosin N-terminal SH3-like domain, Myosin head (motor domain); Myosin head (motor domain), Myosin N-terminal SH3-like domain, Myosin tail; Myosin head (motor domain), Myosin N-terminal SH3-like domain, Myosin tail; Myosin tail, Myosin N-terminal SH3-like domain, Myosin head (motor domain); Myosin N-terminal SH3-like domain, Myosin head (motor domain), Myosin tail; Myosin N-terminal SH3-like domain, Myosin tail, Myosin head (motor domain); Myosin tail, Myosin head (motor domain), Myosin N-terminal SH3-like domain; Myosin tail, Myosin N-terminal SH3-like domain, Myosin head (motor domain)	1.9E-158, 2.3E-14, 2.1E-296; 1.5E-292, 2.9E-13, 2.2E-164; 2.0E-285, 5.5E-13, 9.7E-163; 1.2E-164, 2.6E-13, 7.7E-287; 3.4E-11, 1.0E-285, 6.2E-160; 1.1E-12, 1.2E-164, 7.9E-287; 1.8E-157, 1.7E-286, 2.3E-11; 5.3E-147, 3.2E-9, 7.3E-286	IPR002928, IPR004009, IPR001609; IPR001609, IPR004009, IPR002928; IPR001609, IPR004009, IPR002928; IPR002928, IPR004009, IPR001609; IPR004009, IPR001609, IPR002928; IPR004009, IPR002928, IPR001609; IPR002928, IPR001609, IPR004009; IPR002928, IPR004009, IPR001609	Myosin tail, Myosin, N-terminal, SH3-like, Myosin head, motor domain; Myosin head, motor domain, Myosin, N-terminal, SH3-like, Myosin tail; Myosin head, motor domain, Myosin, N-terminal, SH3-like, Myosin tail; Myosin tail, Myosin, N-terminal, SH3-like, Myosin head, motor domain; Myosin, N-terminal, SH3-like, Myosin head, motor domain, Myosin tail; Myosin, N-terminal, SH3-like, Myosin tail, Myosin head, motor domain; Myosin tail, Myosin head, motor domain, Myosin, N-terminal, SH3-like; Myosin tail, Myosin, N-terminal, SH3-like, Myosin head, motor domain
NP_002515.1	NP_002515.1; NP_203524.1; NP_001123914.1	189; 189; 189	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	9.5E-58; 1.5E-58; 1.2E-58	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_002559.2	NP_002559.2; NP_112241.2	636; 631	Pfam	PF00076, PF00658; PF00658, PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Poly-adenylate binding protein, unique domain; Poly-adenylate binding protein, unique domain, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	9.8E-25, 1.1E-30; 1.5E-29, 9.7E-25	IPR000504, IPR002004; IPR002004, IPR000504	RNA recognition motif domain, Polyadenylate-binding protein/Hyperplastic disc protein; Polyadenylate-binding protein/Hyperplastic disc protein, RNA recognition motif domain
NP_002611.1	NP_002611.1; NP_001350281.1	104; 110	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	4.8E-13; 1.4E-14	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002656.1	NP_002656.1; NP_001027564.1	96; 96	Pfam	PF00024; PF00024	PAN domain; PAN domain	2.2E-14; 2.2E-14	IPR003609; IPR003609	PAN/Apple domain; PAN/Apple domain
NP_002690.3	NP_002690.3; NP_005595.2	451; 443	Pfam	PF00046, PF00157; PF00046, PF00157	Homeodomain, Pou domain - N-terminal to homeobox domain; Homeodomain, Pou domain - N-terminal to homeobox domain	1.1E-17, 5.9E-38; 1.3E-18, 2.0E-38	IPR001356, IPR000327; IPR001356, IPR000327	Homeobox domain, POU-specific domain; Homeobox domain, POU-specific domain
NP_002692.2	NP_002692.2; NP_001382674.1	360; 359	Pfam	PF00046, PF00157; PF00157, PF00046	Homeodomain, Pou domain - N-terminal to homeobox domain; Pou domain - N-terminal to homeobox domain, Homeodomain	1.4E-18, 2.4E-36; 7.8E-35, 8.7E-16	IPR001356, IPR000327; IPR000327, IPR001356	Homeobox domain, POU-specific domain; POU-specific domain, Homeobox domain
NP_002706.1	NP_002706.1; NP_001009552.1	309; 309	Pfam	PF00149; PF00149	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase	1.0E-34; 3.0E-35	IPR004843; IPR004843	Calcineurin-like phosphoesterase domain, ApaH type; Calcineurin-like phosphoesterase domain, ApaH type
NP_002728.2	NP_002728.2; NP_002729.2	672; 673	Pfam	PF00130, PF00069, PF00168, PF00433; PF00433, PF00130, PF00069, PF00168	Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, C2 domain, Protein kinase C terminal domain; Protein kinase C terminal domain, Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain, C2 domain	1.5E-16, 7.5E-65, 1.1E-28, 7.5E-4; 4.3E-4, 1.6E-17, 1.2E-60, 4.0E-26	IPR002219, IPR000719, IPR000008, IPR017892; IPR017892, IPR002219, IPR000719, IPR000008	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain, Protein kinase domain, C2 domain, Protein kinase, C-terminal; Protein kinase, C-terminal, Protein kinase C-like, phorbol ester/diacylglycerol-binding domain, Protein kinase domain, C2 domain
NP_002731.4	NP_002731.4; XP_016857278.1	596; 603	Pfam	PF00564, PF00433, PF00130, PF00069; PF00564, PF00069, PF00130	PB1 domain, Protein kinase C terminal domain, Phorbol esters/diacylglycerol binding domain (C1 domain), Protein kinase domain; PB1 domain, Protein kinase domain, Phorbol esters/diacylglycerol binding domain (C1 domain)	1.2E-14, 6.0E-5, 1.2E-14, 9.8E-68; 1.7E-18, 1.2E-61, 1.2E-14	IPR000270, IPR017892, IPR002219, IPR000719; IPR000270, IPR000719, IPR002219	PB1 domain, Protein kinase, C-terminal, Protein kinase C-like, phorbol ester/diacylglycerol-binding domain, Protein kinase domain; PB1 domain, Protein kinase domain, Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
NP_002755.1	NP_002755.1; NP_001034180.1; NP_787082.1	318; 321; 318	Pfam	PF14572, PF13793; PF14572, PF13793; PF13793, PF14572	Phosphoribosyl synthetase-associated domain, N-terminal domain of ribose phosphate pyrophosphokinase; Phosphoribosyl synthetase-associated domain, N-terminal domain of ribose phosphate pyrophosphokinase; N-terminal domain of ribose phosphate pyrophosphokinase, Phosphoribosyl synthetase-associated domain	6.0E-38, 2.9E-48; 6.0E-38, 3.6E-45; 1.4E-47, 1.7E-37	IPR005946, IPR029099; IPR005946, IPR029099; IPR029099, IPR005946	Ribose-phosphate pyrophosphokinase, Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate pyrophosphokinase, Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate pyrophosphokinase, N-terminal domain, Ribose-phosphate pyrophosphokinase
NP_002773.1	NP_002773.1; XP_016882486.1; NP_874366.1; NP_066296.2; NP_001284702.1; NP_002774.2	435; 426; 426; 428; 428; 419	Pfam	PF13895, PF07686; PF13927, PF07686, PF13895; PF07686, PF13927, PF13895; PF13895, PF07686; PF07686, PF13895, PF13927; PF13927, PF13895, PF07686	Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin domain, Immunoglobulin V-set domain, Immunoglobulin domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain; Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain; Immunoglobulin domain, Immunoglobulin domain, Immunoglobulin V-set domain	1.7E-15, 2.5E-11; 4.5E-8, 8.3E-11, 6.3E-15; 2.8E-12, 1.4E-7, 2.0E-17; 6.4E-17, 2.9E-12; 1.9E-12, 1.8E-15, 2.3E-7; 4.8E-7, 2.6E-16, 8.4E-12	IPR007110, IPR013106; -, IPR013106, IPR007110; IPR013106, -, IPR007110; IPR007110, IPR013106; IPR013106, IPR007110, -; -, IPR007110, IPR013106	Immunoglobulin-like domain, Immunoglobulin V-set domain; -, Immunoglobulin V-set domain, Immunoglobulin-like domain; Immunoglobulin V-set domain, -, Immunoglobulin-like domain; Immunoglobulin-like domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin-like domain, -; -, Immunoglobulin-like domain, Immunoglobulin V-set domain
NP_002776.3	NP_002776.3; NP_112536.2; XP_016882492.1	335; 335; 335	Pfam	PF13895, PF13927, PF07686; PF07686, PF13895, PF13927; PF07686, PF13895	Immunoglobulin domain, Immunoglobulin domain, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin domain, Immunoglobulin domain; Immunoglobulin V-set domain, Immunoglobulin domain	3.5E-16, 4.9E-8, 6.7E-12; 3.7E-12, 2.4E-17, 1.8E-8; 1.7E-11, 1.2E-15	IPR007110, -, IPR013106; IPR013106, IPR007110, -; IPR013106, IPR007110	Immunoglobulin-like domain, -, Immunoglobulin V-set domain; Immunoglobulin V-set domain, Immunoglobulin-like domain, -; Immunoglobulin V-set domain, Immunoglobulin-like domain
NP_002783.1	NP_002783.1; NP_653263.2	248; 256	Pfam	PF00227, PF10584; PF10584, PF00227	Proteasome subunit, Proteasome subunit A N-terminal signature; Proteasome subunit A N-terminal signature, Proteasome subunit	1.5E-63, 1.9E-14; 2.0E-14, 1.5E-59	IPR001353, IPR000426; IPR000426, IPR001353	Proteasome, subunit alpha/beta, Proteasome alpha-subunit, N-terminal domain; Proteasome alpha-subunit, N-terminal domain, Proteasome, subunit alpha/beta
NP_002853.2	NP_002853.2; NP_005600.1; NP_002854.3	843; 842; 847	Pfam	PF00343; PF00343; PF00343	Carbohydrate phosphorylase; Carbohydrate phosphorylase; Carbohydrate phosphorylase	0.0; 0.0; 0.0	IPR000811; IPR000811; IPR000811	Glycosyl transferase, family 35; Glycosyl transferase, family 35; Glycosyl transferase, family 35
NP_002856.1	NP_002856.1; NP_116235.2	212; 216	Pfam	PF00071; PF00071	Ras family; Ras family	4.4E-63; 3.2E-62	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_002857.1	NP_002857.1; NP_612462.1; XP_016857447.1; NP_004274.1	220; 227; 219; 219	Pfam	PF00071; PF00071; PF00071; PF00071	Ras family; Ras family; Ras family; Ras family	3.6E-61; 4.4E-61; 1.2E-60; 9.3E-61	IPR001806; IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase; Small GTPase
NP_002861.1	NP_002861.1; NP_057614.1; NP_005361.2; NP_057215.3	203; 207; 207; 200	Pfam	PF00071; PF00071; PF00071; PF00071	Ras family; Ras family; Ras family; Ras family	1.3E-66; 2.9E-67; 1.0E-66; 2.5E-65	IPR001806; IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase; Small GTPase
NP_002877.2	NP_002877.2; NP_067006.3; NP_066361.1	183; 183; 183	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	3.1E-56; 6.8E-56; 5.6E-57	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_002887.2	NP_002887.2; XP_016873891.1	364; 359	Pfam	PF00076, PF00098; PF00098, PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Zinc knuckle; Zinc knuckle, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	8.4E-17, 2.2E-7; 2.1E-7, 8.2E-17	IPR000504, IPR001878; IPR001878, IPR000504	RNA recognition motif domain, Zinc finger, CCHC-type; Zinc finger, CCHC-type, RNA recognition motif domain
NP_002900.2	NP_002900.2; NP_006498.1	166; 166	Pfam	PF00059; PF00059	Lectin C-type domain; Lectin C-type domain	2.3E-23; 1.2E-22	IPR001304; IPR001304	C-type lectin-like; C-type lectin-like
NP_002948.1	NP_002948.1; NP_008848.1	462; 463	Pfam	PF00104, PF00105, PF11825; PF00104, PF11825, PF00105	Ligand-binding domain of nuclear hormone receptor, Zinc finger, C4 type (two domains), Nuclear/hormone receptor activator site AF-1; Ligand-binding domain of nuclear hormone receptor, Nuclear/hormone receptor activator site AF-1, Zinc finger, C4 type (two domains)	3.2E-38, 6.9E-32, 1.8E-38; 1.3E-36, 9.2E-37, 2.1E-31	IPR000536, IPR001628, IPR021780; IPR000536, IPR021780, IPR001628	Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Nuclear/hormone receptor activator site AF-1; Nuclear hormone receptor, ligand-binding domain, Nuclear/hormone receptor activator site AF-1, Zinc finger, nuclear hormone receptor-type
NP_002954.2	NP_002954.2; NP_789793.1	101; 101	Pfam	PF01023; PF01023	S-100/ICaBP type calcium binding domain; S-100/ICaBP type calcium binding domain	5.2E-9; 6.4E-10	IPR013787; IPR013787	S100/CaBP-9k-type, calcium binding, subdomain; S100/CaBP-9k-type, calcium binding, subdomain
NP_002965.1	NP_002965.1; NP_008850.1	390; 390	Pfam	PF00079; PF00079	Serpin (serine protease inhibitor); Serpin (serine protease inhibitor)	1.7E-135; 5.5E-136	IPR023796; IPR023796	Serpin domain; Serpin domain
NP_002973.1	NP_002973.1; NP_006264.2; NP_002977.1	99; 99; 97	Pfam	PF00048; PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	4.4E-19; 1.4E-22; 3.3E-21	IPR001811; IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002974.1	NP_002974.1; NP_066286.1; NP_001001437.2	92; 93; 93	Pfam	PF00048; PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	5.1E-22; 1.2E-22; 1.2E-22	IPR001811; IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002975.1	NP_002975.1; NP_996890.1	92; 92	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	8.1E-20; 1.2E-20	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002984.1	NP_002984.1; NP_002985.1	114; 114	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	9.2E-14; 1.3E-13	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002986.1	NP_002986.1; NP_003166.1	114; 114	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	5.8E-12; 5.8E-12	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_003016.1	NP_003016.1; NP_001311111.1	368; 360	Pfam	PF03114, PF00018; PF03114	BAR domain, SH3 domain; BAR domain	6.0E-79, 4.5E-14; 3.8E-80	IPR004148, IPR001452; IPR004148	BAR domain, SH3 domain; BAR domain
NP_003116.2	NP_003116.2; NP_001186757.1	89; 89	Pfam	PF02389; PF02389	Cornifin (SPRR) family; Cornifin (SPRR) family	7.0E-24; 6.3E-24	-; -	-; -
NP_003138.3	NP_001265630.1; NP_003138.3; XP_016884919.1	223; 223; 223	Pfam	PF01352; PF01352; PF09514	KRAB box; KRAB box; SSXRD motif	1.0E-4; 1.0E-4; 1.6E-13	IPR001909; IPR001909; IPR019041	Krueppel-associated box; Krueppel-associated box; SSXRD motif
NP_003143.2	NP_003143.2; XP_024306665.1	794; 787	Pfam	PF02864, PF02865, PF00017, PF01017; PF02864, PF02865, PF01017, PF00017	STAT protein, DNA binding domain, STAT protein, protein interaction domain, SH2 domain, STAT protein, all-alpha domain; STAT protein, DNA binding domain, STAT protein, protein interaction domain, STAT protein, all-alpha domain, SH2 domain	6.9E-52, 1.6E-42, 4.0E-11, 1.4E-50; 3.0E-52, 9.4E-43, 2.3E-51, 7.1E-11	IPR013801, IPR013799, IPR000980, IPR013800; IPR013801, IPR013799, IPR013800, IPR000980	STAT transcription factor, DNA-binding, STAT transcription factor, protein interaction, SH2 domain, STAT transcription factor, all-alpha domain; STAT transcription factor, DNA-binding, STAT transcription factor, protein interaction, STAT transcription factor, all-alpha domain, SH2 domain
NP_003203.1	NP_003203.1; NP_001384291.1	188; 188	Pfam	PF09443; PF09443	Cripto_Frl-1_Cryptic (CFC); Cripto_Frl-1_Cryptic (CFC)	5.9E-16; 5.9E-16	IPR019011; IPR019011	Cryptic/Cripto, CFC domain; Cryptic/Cripto, CFC domain
NP_003204.2	NP_003204.2; NP_068780.2; NP_001382143.1	434; 426; 435	Pfam	PF17725, PF01285; PF17725, PF01285; PF17725, PF01285	YAP binding domain, TEA/ATTS domain; YAP binding domain, TEA/ATTS domain; YAP binding domain, TEA/ATTS domain	2.6E-84, 9.9E-27; 1.4E-85, 9.6E-27; 3.9E-84, 1.7E-26	IPR041086, IPR000818; IPR041086, IPR000818; IPR041086, IPR000818	YAP binding domain, TEA/ATTS domain; YAP binding domain, TEA/ATTS domain; YAP binding domain, TEA/ATTS domain
NP_003231.2	NP_003231.2; NP_066277.1	366; 366	Pfam	PF00019, PF00688; PF00688, PF00019	Transforming growth factor beta like domain, TGF-beta propeptide; TGF-beta propeptide, Transforming growth factor beta like domain	2.7E-9, 4.7E-11; 6.6E-11, 2.4E-9	IPR001839, IPR001111; IPR001111, IPR001839	Transforming growth factor-beta, C-terminal, TGF-beta, propeptide; TGF-beta, propeptide, Transforming growth factor-beta, C-terminal
NP_003285.2	NP_003285.2; NP_077078.5	275; 275	Pfam	PF00089; PF00089	Trypsin; Trypsin	2.3E-69; 2.7E-69	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_003299.2	NP_003299.2; NP_001269398.1; NP_001071165.2; NP_001157943.1; NP_072095.2; NP_001230650.1; NP_001382992.1	308; 308; 308; 314; 308; 308; 314	Pfam	PF00956; PF00956; PF00956; PF00956; PF00956; PF00956; PF00956	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)	2.7E-18; 1.4E-18; 1.4E-18; 1.2E-18; 1.5E-18; 1.9E-17; 4.4E-19	IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)
NP_003327.2	NP_003327.2; NP_003328.1	152; 152	Pfam	PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	1.5E-54; 1.2E-53	IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003329.1	NP_003329.1; NP_871622.1	147; 149	Pfam	PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	6.0E-54; 1.7E-52	IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003332.1	NP_003332.1; NP_001357154.1; NP_872619.1	193; 201; 207	Pfam	PF00179; PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	9.4E-47; 4.3E-47; 1.6E-46	IPR000608; IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
