NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_002877.2	NP_002877.2; NP_066361.1; NP_067006.3	183; 183; 183	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	3.1E-56; 5.6E-57; 6.8E-56	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_002954.2	NP_002954.2; NP_789793.1	101; 101	Pfam	PF01023; PF01023	S-100/ICaBP type calcium binding domain; S-100/ICaBP type calcium binding domain	5.2E-9; 6.4E-10	IPR013787; IPR013787	S100/CaBP-9k-type, calcium binding, subdomain; S100/CaBP-9k-type, calcium binding, subdomain
NP_002965.1	NP_002965.1; NP_008850.1	390; 390	Pfam	PF00079; PF00079	Serpin (serine protease inhibitor); Serpin (serine protease inhibitor)	1.7E-135; 5.5E-136	IPR023796; IPR023796	Serpin domain; Serpin domain
NP_002974.1	NP_002974.1; NP_066286.1; NP_001001437.2	92; 93; 93	Pfam	PF00048; PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	5.1E-22; 1.2E-22; 1.2E-22	IPR001811; IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002975.1	NP_002975.1; NP_996890.1	92; 92	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	8.1E-20; 1.2E-20	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_002986.1	NP_002986.1; NP_003166.1	114; 114	Pfam	PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	5.8E-12; 5.8E-12	IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_003116.2	NP_003116.2; NP_001186757.1	89; 89	Pfam	PF02389; PF02389	Cornifin (SPRR) family; Cornifin (SPRR) family	7.0E-24; 6.3E-24	-; -	-; -
NP_003138.3	NP_001265630.1; NP_003138.3	223; 223	Pfam	PF01352; PF01352	KRAB box; KRAB box	1.0E-4; 1.0E-4	IPR001909; IPR001909	Krueppel-associated box; Krueppel-associated box
NP_003143.2	NP_003143.2; XP_024306665.1	794; 787	Pfam	PF02864, PF02865, PF00017, PF01017; PF02864, PF02865, PF01017, PF00017	STAT protein, DNA binding domain, STAT protein, protein interaction domain, SH2 domain, STAT protein, all-alpha domain; STAT protein, DNA binding domain, STAT protein, protein interaction domain, STAT protein, all-alpha domain, SH2 domain	6.9E-52, 1.6E-42, 4.0E-11, 1.4E-50; 3.0E-52, 9.4E-43, 2.3E-51, 7.1E-11	IPR013801, IPR013799, IPR000980, IPR013800; IPR013801, IPR013799, IPR013800, IPR000980	STAT transcription factor, DNA-binding, STAT transcription factor, protein interaction, SH2 domain, STAT transcription factor, all-alpha domain; STAT transcription factor, DNA-binding, STAT transcription factor, protein interaction, STAT transcription factor, all-alpha domain, SH2 domain
NP_003203.1	NP_003203.1; NP_001384291.1	188; 188	Pfam	PF09443; PF09443	Cripto_Frl-1_Cryptic (CFC); Cripto_Frl-1_Cryptic (CFC)	5.9E-16; 5.9E-16	IPR019011; IPR019011	Cryptic/Cripto, CFC domain; Cryptic/Cripto, CFC domain
NP_003231.2	NP_003231.2; NP_066277.1	366; 366	Pfam	PF00019, PF00688; PF00688, PF00019	Transforming growth factor beta like domain, TGF-beta propeptide; TGF-beta propeptide, Transforming growth factor beta like domain	2.7E-9, 4.7E-11; 6.6E-11, 2.4E-9	IPR001839, IPR001111; IPR001111, IPR001839	Transforming growth factor-beta, C-terminal, TGF-beta, propeptide; TGF-beta, propeptide, Transforming growth factor-beta, C-terminal
NP_003285.2	NP_003285.2; NP_077078.5	275; 275	Pfam	PF00089; PF00089	Trypsin; Trypsin	2.3E-69; 2.7E-69	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_003299.2	NP_003299.2; NP_001269398.1; NP_001071165.2; NP_001157943.1; NP_072095.2; NP_001230650.1; NP_001382992.1	308; 308; 308; 314; 308; 308; 314	Pfam	PF00956; PF00956; PF00956; PF00956; PF00956; PF00956; PF00956	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)	2.7E-18; 1.4E-18; 1.4E-18; 1.2E-18; 1.5E-18; 1.9E-17; 4.4E-19	IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164; IPR002164	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)
NP_003327.2	NP_003327.2; NP_003328.1	152; 152	Pfam	PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	1.5E-54; 1.2E-53	IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
NP_003484.1	NP_003484.1; NP_003526.1; NP_003524.1; NP_003527.1; NP_003525.1; NP_066298.1; NP_001368928.1; NP_001363866.1; NP_003522.1; NP_003528.1; NP_003520.1; NP_001005464.1; NP_066403.2; NP_001116847.1; NP_005315.1; NP_001365972.1; NP_001342338.1; NP_001013721.2	136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 136; 135	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	4.6E-53; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 1.8E-54; 7.6E-54; 7.6E-54; 7.6E-54; 8.5E-54; 8.5E-54; 1.5E-51; 1.0E-51	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
NP_003486.1	NP_003539.1; NP_778224.1; NP_003537.1; NP_003532.1; NP_068803.1; NP_003486.1; NP_003534.1; NP_003531.1; NP_003536.1; NP_003530.1; NP_003533.1; NP_003535.1; NP_003529.1	103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103; 103	Pfam	PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511; PF15511	Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold; Centromere kinetochore component CENP-T histone fold	2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8; 2.2E-8	IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425; IPR035425	CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold; CENP-T/Histone H4, histone fold
NP_003500.1	NP_003505.1; NP_003502.1; NP_003501.1; NP_003500.1; NP_066408.1; NP_066409.1; NP_001035807.1; NP_003507.1; NP_066390.1; NP_003504.2; NP_003503.1; NP_254280.1; NP_542163.1; NP_066544.1; NP_003508.1; NP_778235.1; NP_734466.1; NP_808760.1	130; 130; 130; 130; 130; 130; 130; 130; 130; 130; 130; 130; 128; 128; 129; 130; 131; 129	Pfam	PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF00125, PF16211; PF00125, PF16211; PF16211, PF00125; PF00125, PF16211; PF16211, PF00125; PF16211, PF00125	Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4, C-terminus of histone H2A; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4; C-terminus of histone H2A, Core histone H2A/H2B/H3/H4	7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.3E-17, 7.5E-20; 7.5E-20, 3.8E-17; 2.3E-17, 7.5E-20; 2.3E-17, 7.5E-20; 3.8E-17, 3.4E-20; 3.8E-17, 3.4E-20; 3.4E-20, 3.5E-17; 1.8E-17, 3.4E-20; 6.9E-17, 7.3E-20; 6.9E-17, 7.3E-20; 6.7E-20, 2.3E-17; 3.8E-17, 2.2E-20; 2.0E-20, 1.8E-17; 9.4E-20, 9.7E-17	IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR007125, IPR032454; IPR007125, IPR032454; IPR032454, IPR007125; IPR007125, IPR032454; IPR032454, IPR007125; IPR032454, IPR007125	Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A/H2B/H3, Histone H2A, C-terminal domain; Histone H2A, C-terminal domain, Histone H2A/H2B/H3; Histone H2A, C-terminal domain, Histone H2A/H2B/H3
NP_003509.1	NP_003516.1; NP_003509.1; NP_003513.1; NP_003514.2; NP_001368918.1; NP_003519.1; NP_003515.1; NP_003511.1; NP_542160.1; NP_003518.2; NP_066402.2; NP_066406.1; NP_001154806.1; XP_006723981.1; NP_059141.1; NP_003510.1; NP_003512.1; NP_778225.1	126; 126; 126; 126; 126; 126; 126; 126; 126; 126; 126; 126; 134; 126; 126; 126; 126; 126	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	7.4E-26; 7.4E-26; 7.4E-26; 7.4E-26; 7.4E-26; 3.6E-26; 8.4E-26; 6.0E-26; 7.4E-26; 4.1E-26; 3.6E-26; 7.5E-26; 4.3E-25; 3.2E-24; 3.2E-24; 3.7E-26; 6.6E-25; 1.3E-25	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
NP_003544.2	NP_003544.2; NP_003545.1	314; 323	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	9.3E-57; 1.3E-53	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_003737.1	NP_003737.1; NP_542408.1	89; 89	Pfam	PF01221; PF01221	Dynein light chain type 1; Dynein light chain type 1	1.1E-42; 2.7E-43	IPR001372; IPR001372	Dynein light chain, type 1/2; Dynein light chain, type 1/2
NP_003761.3	NP_003761.3; NP_006762.3	449; 456	Pfam	PF00038; PF00038	Intermediate filament protein; Intermediate filament protein	1.6E-92; 3.7E-92	IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain
NP_003765.2	NP_003765.2; NP_001186710.1	578; 575	Pfam	PF00652, PF00535; PF00652, PF00535	Ricin-type beta-trefoil lectin domain, Glycosyl transferase family 2; Ricin-type beta-trefoil lectin domain, Glycosyl transferase family 2	6.4E-25, 1.4E-35; 6.4E-25, 1.4E-35	IPR000772, IPR001173; IPR000772, IPR001173	Ricin B, lectin domain, Glycosyltransferase 2-like; Ricin B, lectin domain, Glycosyltransferase 2-like
NP_004193.1	NP_004193.1; NP_066932.1	44; 44	Pfam	PF01290; PF01290	Thymosin beta-4 family; Thymosin beta-4 family	3.6E-20; 4.2E-23	IPR001152; IPR001152	Beta-thymosin; Beta-thymosin
NP_004209.2	NP_004209.2; NP_004654.1	218; 216	Pfam	PF00071; PF00071	Ras family; Ras family	7.9E-64; 1.9E-63	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_004640.4	NP_004640.4; NP_001350687.1	268; 268	Pfam	; 	; 	; 	; 	; 
NP_004669.2	NP_001002760.1; NP_004669.2; NP_001002761.1	106; 106; 106	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_004670.1	NP_870996.1; NP_004670.1	125; 125	Pfam	PF15231; PF15231	Variable charge X/Y family; Variable charge X/Y family	1.0E-62; 1.0E-62	IPR026653; IPR026653	Variably charged protein VCX/VCY1; Variably charged protein VCX/VCY1
NP_004671.1	NP_001003895.1; NP_004671.1	554; 554	Pfam	PF00385, PF00378; PF00385, PF00378	Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase; Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase	1.4E-17, 3.9E-32; 1.4E-17, 3.9E-32	IPR023780, IPR001753; IPR023780, IPR001753	Chromo domain, Enoyl-CoA hydratase/isomerase; Chromo domain, Enoyl-CoA hydratase/isomerase
NP_004816.1	NP_004816.1; NP_001001722.1	541; 541	Pfam	PF00385, PF00378; PF00385, PF00378	Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase; Chromo (CHRromatin Organisation MOdifier) domain, Enoyl-CoA hydratase/isomerase	1.4E-17, 2.3E-34; 1.4E-17, 2.3E-34	IPR023780, IPR001753; IPR023780, IPR001753	Chromo domain, Enoyl-CoA hydratase/isomerase; Chromo domain, Enoyl-CoA hydratase/isomerase
NP_004933.1	NP_004933.1; NP_001192195.1	64; 64	Pfam	PF00711; PF00711	Beta defensin; Beta defensin	5.1E-13; 5.1E-13	IPR001855; IPR001855	Beta defensin type; Beta defensin type
NP_005040.2	NP_005040.2; NP_001355167.1	919; 919	Pfam	PF00400, PF04003; PF00400, PF04003	WD domain, G-beta repeat, Dip2/Utp12 Family; WD domain, G-beta repeat, Dip2/Utp12 Family	4.0E-8, 2.2E-22; 4.0E-8, 2.2E-22	IPR001680, IPR007148; IPR001680, IPR007148	WD40 repeat, Small-subunit processome, Utp12; WD40 repeat, Small-subunit processome, Utp12
NP_005049.1	NP_005049.1; NP_001006120.2; NP_001006118.2; NP_001006121.1; NP_001006117.2; NP_689798.1	496; 496; 496; 496; 496; 496	Pfam	PF00076, PF08081; PF00076, PF08081; PF00076, PF08081; PF00076, PF08081; PF08081, PF00076; PF08081, PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), RBM1CTR (NUC064) family; RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RBM1CTR (NUC064) family, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 1.8E-21, 3.4E-22; 3.4E-22, 3.2E-21; 3.4E-22, 3.2E-21	IPR000504, IPR012604; IPR000504, IPR012604; IPR000504, IPR012604; IPR000504, IPR012604; IPR012604, IPR000504; IPR012604, IPR000504	RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RNA recognition motif domain, RBM1CTR; RBM1CTR, RNA recognition motif domain; RBM1CTR, RNA recognition motif domain
NP_005146.4	NP_619731.2; NP_005146.4	308; 302	Pfam	PF02089; PF02089	Palmitoyl protein thioesterase; Palmitoyl protein thioesterase	1.7E-61; 1.6E-61	-; -	-; -
NP_005175.2	NP_005175.2; NP_001350599.1	149; 150	Pfam	PF13499; PF13499	EF-hand domain pair; EF-hand domain pair	1.4E-19; 1.4E-19	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_005262.1	NP_005262.1; NP_036216.2	558; 558	Pfam	PF00208, PF02812; PF00208, PF02812	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase, Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/Leucine/Phenylalanine/Valine dehydrogenase, Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	2.3E-50, 3.7E-58; 4.9E-52, 1.7E-58	IPR006096, IPR006097; IPR006096, IPR006097	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal, Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal, Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain
NP_005264.2	NP_005264.2; XP_016856548.1; NP_067642.1	340; 340; 340	Pfam	PF00400; PF00400; PF00400	WD domain, G-beta repeat; WD domain, G-beta repeat; WD domain, G-beta repeat	1.6E-6; 1.5E-8; 2.9E-7	IPR001680; IPR001680; IPR001680	WD40 repeat; WD40 repeat; WD40 repeat
NP_005265.1	NP_005265.1; NP_001382951.1	68; 68	Pfam	PF00631; PF00631	GGL domain; GGL domain	1.5E-15; 8.1E-14	IPR015898; IPR015898	G-protein gamma-like domain; G-protein gamma-like domain
NP_005311.1	NP_005311.1; NP_005312.1; NP_005310.1	221; 219; 213	Pfam	PF00538; PF00538; PF00538	linker histone H1 and H5 family; linker histone H1 and H5 family; linker histone H1 and H5 family	3.6E-22; 3.5E-22; 3.3E-22	IPR005818; IPR005818; IPR005818	Linker histone H1/H5, domain H15; Linker histone H1/H5, domain H15; Linker histone H1/H5, domain H15
NP_005353.1	NP_005353.1; NP_787064.1	314; 314	Pfam	PF12440, PF01454; PF12440, PF01454	Melanoma associated antigen family N terminal, MAGE family; Melanoma associated antigen family N terminal, MAGE family	5.6E-26, 1.4E-9; 5.6E-26, 9.7E-10	IPR021072, IPR002190; IPR021072, IPR002190	Melanoma associated antigen, N-terminal, MAGE homology domain; Melanoma associated antigen, N-terminal, MAGE homology domain
NP_005518.3	NP_005518.3; NP_005337.2; NP_005336.3	641; 641; 641	Pfam	PF00012; PF00012; PF00012	Hsp70 protein; Hsp70 protein; Hsp70 protein	5.6E-260; 1.3E-262; 1.3E-262	IPR013126; IPR013126; IPR013126	Heat shock protein 70 family; Heat shock protein 70 family; Heat shock protein 70 family
NP_005545.1	NP_005545.1; NP_775109.2; NP_005546.2	564; 564; 564	Pfam	PF16208, PF00038; PF16208, PF00038; PF16208, PF00038	Keratin type II head, Intermediate filament protein; Keratin type II head, Intermediate filament protein; Keratin type II head, Intermediate filament protein	1.8E-38, 5.7E-115; 3.4E-38, 7.7E-115; 3.4E-38, 3.3E-114	IPR032444, IPR039008; IPR032444, IPR039008; IPR032444, IPR039008	Keratin type II head, Intermediate filament, rod domain; Keratin type II head, Intermediate filament, rod domain; Keratin type II head, Intermediate filament, rod domain
NP_005575.1	NP_005575.1; NP_006430.1	359; 359	Pfam	PF03281; PF03281	Mab-21 protein; Mab-21 protein	1.1E-75; 2.7E-77	IPR024810; IPR024810	Mab-21 domain; Mab-21 domain
NP_005666.2	NP_005666.2; NP_001355171.1; NP_150282.2	220; 220; 220	Pfam	PF07324; PF07324; PF07324	DiGeorge syndrome critical region 6 (DGCR6) protein; DiGeorge syndrome critical region 6 (DGCR6) protein; DiGeorge syndrome critical region 6 (DGCR6) protein	5.6E-95; 5.6E-95; 3.1E-94	IPR010849; IPR010849; IPR010849	Gonadal family; Gonadal family; Gonadal family
NP_005712.1	NP_005712.1; NP_065178.1	418; 418	Pfam	PF00022; PF00022	Actin; Actin	3.7E-87; 1.7E-88	IPR004000; IPR004000	Actin family; Actin family
NP_005726.1	NP_005726.1; NP_005727.1	376; 376	Pfam	PF00022; PF00022	Actin; Actin	4.4E-134; 3.0E-133	IPR004000; IPR004000	Actin family; Actin family
NP_005738.4	NP_005738.4; NP_031378.1	270; 270	Pfam	PF00089; PF00089	Trypsin; Trypsin	5.0E-66; 3.5E-68	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_005792.1	NP_005792.1; NP_005866.1	113; 113	Pfam	PF01253; PF01253	Translation initiation factor SUI1; Translation initiation factor SUI1	1.8E-29; 2.3E-29	IPR001950; IPR001950	SUI1 domain; SUI1 domain
NP_005937.2	NP_005937.2; NP_005944.1; NP_005940.1; NP_001288196.1; NP_005943.1; NP_005942.1; NP_001263616.1	61; 61; 61; 62; 61; 61; 61	Pfam	PF00131; PF00131; PF00131; PF00131; PF00131; PF00131; PF00131	Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein	1.7E-18; 1.0E-18; 1.5E-17; 2.1E-17; 3.6E-17; 3.9E-18; 8.7E-17	IPR003019; IPR003019; IPR003019; IPR003019; IPR003019; IPR003019; IPR003019	Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein; Metallothionein
NP_005979.1	NP_005979.1; NP_001375127.1; NP_001369177.1; NP_001019380.2	72; 72; 72; 72	Pfam	PF14820; PF14820; PF14820; PF14820	Small proline-rich 2; Small proline-rich 2; Small proline-rich 2; Small proline-rich 2	7.6E-28; 5.8E-27; 5.8E-26; 2.5E-26	IPR029142; IPR029142; IPR029142; IPR029142	Small proline-rich protein 2; Small proline-rich protein 2; Small proline-rich protein 2; Small proline-rich protein 2
